,date,open,close,high,low,volume,code
124,2020-07-10,1689.0,1713.85,1736.6,1688.94,37100.0,600519
125,2020-07-13,1714.68,1781.99,1787.0,1714.68,60727.0,600519
126,2020-07-14,1781.99,1762.0,1782.03,1748.4,46094.0,600519
127,2020-07-15,1744.88,1752.53,1782.6,1744.71,40713.0,600519
128,2020-07-16,1729.91,1614.0,1729.91,1600.0,102242.0,600519
129,2020-07-17,1620.0,1648.05,1672.59,1620.0,65902.0,600519
130,2020-07-20,1652.5,1636.96,1663.99,1588.88,45280.0,600519
131,2020-07-21,1646.64,1668.0,1702.8,1630.99,41970.0,600519
132,2020-07-22,1658.0,1678.08,1710.0,1658.0,39201.0,600519
133,2020-07-23,1672.0,1676.0,1691.0,1650.0,34321.0,600519
134,2020-07-24,1654.85,1595.3,1666.0,1585.0,78752.0,600519
135,2020-07-27,1616.01,1622.55,1629.8,1600.0,38788.0,600519
136,2020-07-28,1630.0,1670.0,1680.0,1630.0,54912.0,600519
137,2020-07-29,1690.0,1672.0,1690.0,1633.0,50748.0,600519
138,2020-07-30,1671.2,1680.0,1700.59,1670.5,38373.0,600519
139,2020-07-31,1685.0,1678.18,1705.0,1646.0,40685.0,600519
140,2020-08-03,1686.88,1668.0,1696.58,1660.0,34661.0,600519
141,2020-08-04,1675.0,1669.99,1682.99,1660.0,31941.0,600519
142,2020-08-05,1662.09,1668.0,1673.09,1643.31,25522.0,600519
143,2020-08-06,1670.0,1637.96,1674.03,1630.0,32649.0,600519
144,2020-08-07,1644.77,1631.0,1649.67,1598.5,34242.0,600519
145,2020-08-10,1627.97,1633.99,1644.96,1608.11,23624.0,600519
146,2020-08-11,1640.0,1642.51,1666.43,1640.0,35818.0,600519
147,2020-08-12,1633.0,1626.95,1641.0,1605.25,27934.0,600519
148,2020-08-13,1630.0,1635.0,1638.88,1609.0,20541.0,600519
149,2020-08-14,1639.9,1661.0,1665.7,1631.0,37653.0,600519
150,2020-08-17,1674.0,1690.0,1704.35,1670.0,43572.0,600519
151,2020-08-18,1697.38,1705.0,1720.0,1691.0,30423.0,600519
152,2020-08-19,1700.0,1687.0,1717.0,1682.99,26915.0,600519
153,2020-08-20,1674.0,1664.0,1679.0,1656.0,22382.0,600519
154,2020-08-21,1673.0,1676.0,1698.0,1671.0,25082.0,600519
155,2020-08-24,1700.0,1696.35,1708.0,1691.01,30933.0,600519
156,2020-08-25,1704.8,1727.0,1746.78,1698.63,41872.0,600519
157,2020-08-26,1734.0,1727.0,1745.0,1715.02,26216.0,600519
158,2020-08-27,1731.99,1731.0,1733.98,1705.0,22636.0,600519
159,2020-08-28,1731.0,1757.0,1764.0,1721.5,42300.0,600519
160,2020-08-31,1770.58,1786.5,1816.0,1770.58,47810.0,600519
161,2020-09-01,1792.0,1801.98,1802.0,1775.01,31640.0,600519
162,2020-09-02,1825.0,1795.0,1828.0,1770.0,32009.0,600519
163,2020-09-03,1795.0,1793.0,1812.0,1779.7,30437.0,600519
