,0,1,2
0,0.4514203588,1,37550.0
1,0.5387277834,-1,50457.0
2,0.5660284569,-1,49332.0
3,0.5660284569,1,50037.0
4,0.4979302249,-1,76192.0
5,0.4694916631,1,56624.0
6,0.5302485635,-1,28240.0
7,0.58869886,-1,49505.0
8,0.5632901268,1,23291.0
9,0.500905271,-1,20267.0
10,0.4793747707,1,26709.0
11,0.5795105138,-1,37437.0
12,0.4864343084,1,40721.0
13,0.5415029258,1,52801.0
14,0.5660653123,1,26039.0
15,0.4831133881,1,30467.0
16,0.6071359571,1,22337.0
17,0.5003711338,1,33447.0
18,0.5342960039,-1,50164.0
19,0.5367815396,1,27515.0
20,0.4969736426,1,24300.0
21,0.4732774844,1,38310.0
22,0.5072687033,1,35321.0
23,0.5312592474,-1,48454.0
24,0.4962735545,1,40226.0
25,0.551848978,1,28898.0
26,0.5164820866,-1,27386.0
27,0.4925120714,1,44312.0
28,0.5147547919,-1,40604.0
29,0.4718304956,-1,21785.0
30,0.4871243985,1,19241.0
31,0.4613188922,1,20402.0
32,0.5039512439,1,38834.0
33,0.5018474452,1,28951.0
34,0.5800316761,1,31430.0
35,0.4991970499,1,35109.0
36,0.4920012347,1,24237.0
37,0.4928046135,-1,33768.0
38,0.4878241587,-1,50202.0
39,0.616963104,1,33331.0
40,0.4444237833,-1,38536.0
41,0.4929108982,1,34505.0
42,0.5109715227,1,42038.0
43,0.4816561852,-1,38242.0
44,0.5923547286,1,31303.0
45,0.5384484847,-1,52932.0
46,0.4843639528,-1,27980.0
47,0.4953781571,-1,37728.0
48,0.4830884507,-1,35092.0
49,0.5658645532,-1,22427.0
50,0.4934382223,-1,49628.0
51,0.4578508716,1,56488.0
52,0.5062775834,-1,37540.0
53,0.4670618245,-1,42044.0
54,0.5344955436,1,37796.0
55,0.5281032214,1,36624.0
56,0.5195245754,-1,44601.0
57,0.5734254338,-1,28950.0
58,0.4730228554,1,25951.0
59,0.6586219901,-1,17726.0
60,0.4862019396,1,35263.0
61,0.4994567814,1,30684.0
62,0.4761269821,1,56259.0
63,0.5364628946,1,46634.0
64,0.596096247,1,46792.0
65,0.4892485881,1,42716.0
66,0.5310417095,-1,21929.0
67,0.5099016638,1,31470.0
68,0.4642215317,1,19595.0
69,0.6642873418,-1,46618.0
70,0.5342004293,-1,38412.0
71,0.5235333572,1,27501.0
72,0.5176180225,-1,26774.0
73,0.5042693548,-1,31768.0
74,0.5649130879,1,18681.0
75,0.494945041,1,23099.0
76,0.5139279671,1,16051.0
77,0.5425014291,1,41794.0
78,0.5389256575,-1,35364.0
79,0.5164377179,1,36572.0
80,0.5048360712,-1,39331.0
81,0.497263666,1,27163.0
82,0.4523552683,-1,18587.0
83,0.4889854832,-1,25846.0
84,0.5329947545,1,23857.0
85,0.5316441799,-1,23546.0
86,0.4694227747,1,42457.0
87,0.4900131785,-1,27214.0
88,0.4213387601,1,18156.0
89,0.5270299664,-1,17297.0
90,0.5288291195,-1,29021.0
91,0.5477906097,1,25176.0
92,0.457395494,-1,18503.0
93,0.4631092679,1,18736.0
94,0.6266497467,-1,31451.0
95,0.5051566986,-1,18931.0
96,0.5203140614,-1,22622.0
97,0.4809994186,-1,33006.0
98,0.4327995876,-1,33320.0
99,0.5264686487,1,41173.0
100,0.4125099419,1,45374.0
101,0.4224168516,1,34341.0
102,0.5006956867,-1,33075.0
103,0.443539375,-1,19399.0
104,0.5871070821,1,16039.0
105,0.4539125222,-1,42206.0
106,0.5271029124,-1,23054.0
107,0.481602957,1,17318.0
108,0.5235016898,1,19402.0
109,0.4987245409,1,16343.0
110,0.5168507491,1,32697.0
111,0.4657603442,-1,25470.0
112,0.4375554434,1,16671.0
113,0.495567823,-1,25969.0
114,0.4970035249,1,22436.0
115,0.53171506,1,34891.0
116,0.5071333763,1,31006.0
117,0.4979754264,-1,33406.0
118,0.5353143538,1,19646.0
119,0.4987546662,1,27858.0
120,0.5116525538,-1,29909.0
121,0.5129580526,1,20977.0
122,0.5072870541,1,19178.0
123,0.5004276041,-1,40658.0
124,0.4794292767,-1,31534.0
125,0.4896680122,-1,23771.0
126,0.4825162373,-1,31274.0
127,0.465140062,1,25076.0
128,0.5041292168,1,115434.0
129,0.5301636829,-1,84383.0
130,0.5123420053,-1,81007.0
131,0.4979401398,1,51875.0
132,0.5422383404,1,43435.0
133,0.5720291614,1,34249.0
134,0.5507590197,1,48188.0
135,0.5295695439,-1,48513.0
136,0.5208875065,1,55564.0
137,0.4881513821,-1,43951.0
138,0.5198398206,1,33641.0
139,0.5694722246,1,74078.0
140,0.5306304219,-1,49869.0
141,0.4968529139,1,46366.0
142,0.5089986182,1,45036.0
143,0.4908429592,-1,60716.0
144,0.51045498,-1,123861.0
145,0.4831738131,-1,88305.0
146,0.492643533,-1,96016.0
147,0.4980806594,-1,128498.0
148,0.4816003049,-1,109599.0
149,0.5006281434,-1,76541.0
150,0.4866073238,1,63548.0
151,0.4924713927,-1,70291.0
152,0.5315167649,-1,46763.0
153,0.4981971053,-1,38019.0
154,0.5121279025,1,47192.0
155,0.5246225871,-1,54267.0
156,0.4757562756,-1,47465.0
157,0.4619296554,-1,58174.0
158,0.4697707872,1,51032.0
159,0.5508347953,1,45503.0
160,0.5166879236,1,72849.0
161,0.4993359267,1,47889.0
162,0.5105792223,-1,48502.0
163,0.5888619852,-1,31967.0
164,0.4489102224,1,32255.0
165,0.4786703372,1,39162.0
